"id";"year";"width";"height";"depth";"title";"description";"artistid";"latitude";"longitude";"city";"country";"sortyear";"roomid";"imageid";"imagepath"
61;"1700";98.5;121.5;;"Portrait de Nicolas Lamoignon de Basville (1648 - 1724), intendant de la Province de Languedoc";"";27;;;"Montpellier";"France";1700;92;408;"656117cab21993f9252be72898f7887e493abdfd4bf5b768fd17f1cba455d84d.jpg"
62;"1702";116;146;;"Portrait de Joseph Bonnier de la Mosson, receveur de l'Hôpital Général, trésorier de la Bourse des États de Languedoc (1676-1726)";"";27;;;"Montpellier";"France";1702;92;409;"f869bab6f11b2a06c85b4d6bf0135677a408b65d66ffc933ea259a181702e6a3.jpg"
63;"1702";116;147;;"Portrait d'Anne Melon (1685 - 1727)";"";27;;;"Montpellier";"France";1702;92;410;"d368a599bbfbf62cca836ec4326ab6e3bd3fb27f2233ccb9f0dd81eb8689720f.jpg"
64;"1868";46;38;;"Étude pour une vendange";"";1;;;"Montpellier";"France";1868;92;684;"f0ebfab372739213dc460817d1d0a558caa353cbd12ee644bc17d057096f4dd3.jpg"
65;"1866";98;131;;"Petite Italienne chanteuse des rues";"";1;;;"Montpellier";"France";1866;92;685;"2875b36394ee3c2cd93c4e234450b2f1ce16aec7ce6dfbf365db0ecf4ded9ef0.jpg"
66;"1870";138;147.5;;"Jeune homme nu couché sur l'herbe";"";1;;;"Montpellier";"France";1870;92;686;"a71c23ea8527fbc397bc7a3ee90af655fdeb7a84308749f134596f716ea87fdf.jpg"
67;"1869";48.5;63;;"Fleurs";"En biologie, chez les « plantes à fleurs » (angiospermes), la fleur constitue l'organe de la reproduction sexuée et l'ensemble des « enveloppes » qui l'entourent. Après la pollinisation, la fleur est fécondée et se transforme en fruit contenant les graines (ou parfois en fruits sans graines). Les fleurs peuvent être solitaires, mais elles sont le plus souvent regroupées en inflorescences.
Très tôt, les fleurs ont attiré l’attention des humains, qui les utilisent et les cultivent pour la parure (couronne de fleurs), pour l’ornementation intérieure (fleurs coupées, bouquets, ikebana) et extérieure (jardins, plates-bandes, etc.). Elles sont utilisées en parfumerie, pour leurs fragrances, ainsi qu'en teinture, pour leurs pigments. Les fleurs comestibles servent à la préparation de boissons et de mets. Les fleurs ont souvent inspiré les artistes, peintres, poètes, sculpteurs et décorateurs. Les fleurs ont eu une place et une signification variables dans la culture et l'art selon les civilisations ; rejetées ou négligées à certaines époques, comme dans les premiers siècles chrétiens, elles sont très valorisées à d'autres.
La culture des fleurs est la floriculture, une branche de l'horticulture.";1;;;"Montpellier";"France";1869;92;687;"6c2e458e6803a8360af4ac85948a00b4a39fb40acf3e380c5d172ecc28ce4236.jpg"
68;"1865";24.5;32.5;;"Rue de village, Chailly";"";1;;;"Montpellier";"France";1865;92;688;"e89d3044aa1068b957b8980ddf26bd92091cdb0c1dbae346b4e46ec30b488d2a.jpg"
69;"1864";39;43;;"La Macreuse";"";1;;;"Montpellier";"France";1864;92;689;"5ca2504e56efebb46825957677bddbadef71121bfee464ae2bd91aa675643b53.jpg"
70;"1872";110;65;;"Portrait de mesdemoiselles Sophie et Berthe Cabanel";"";28;;;"Montpellier";"France";1872;92;690;"50f9857739ab1c4b6c7e5850b8b1f9e1cbf9a5c59b96807590c586657d4b6fc5.jpg"
