id,title,artist,year,imagepath
61,"Portrait de Nicolas Lamoignon de Basville (1648 - 1724), intendant de la Province de Languedoc",27,1700,656117cab21993f9252be72898f7887e493abdfd4bf5b768fd17f1cba455d84d.jpg
62,"Portrait de Joseph Bonnier de la Mosson, receveur de l'Hôpital Général, trésorier de la Bourse des États de Languedoc (1676-1726)",27,1702,f869bab6f11b2a06c85b4d6bf0135677a408b65d66ffc933ea259a181702e6a3.jpg
63,Portrait d'Anne Melon (1685 - 1727),27,1702,d368a599bbfbf62cca836ec4326ab6e3bd3fb27f2233ccb9f0dd81eb8689720f.jpg
64,Étude pour une vendange,1,1868,f0ebfab372739213dc460817d1d0a558caa353cbd12ee644bc17d057096f4dd3.jpg
65,Petite Italienne chanteuse des rues,1,1866,2875b36394ee3c2cd93c4e234450b2f1ce16aec7ce6dfbf365db0ecf4ded9ef0.jpg
66,Jeune homme nu couché sur l'herbe,1,1870,a71c23ea8527fbc397bc7a3ee90af655fdeb7a84308749f134596f716ea87fdf.jpg
67,Fleurs,1,1869,6c2e458e6803a8360af4ac85948a00b4a39fb40acf3e380c5d172ecc28ce4236.jpg
68,"Rue de village, Chailly",1,1865,e89d3044aa1068b957b8980ddf26bd92091cdb0c1dbae346b4e46ec30b488d2a.jpg
69,La Macreuse,1,1864,5ca2504e56efebb46825957677bddbadef71121bfee464ae2bd91aa675643b53.jpg
70,Portrait de mesdemoiselles Sophie et Berthe Cabanel,28,1872,50f9857739ab1c4b6c7e5850b8b1f9e1cbf9a5c59b96807590c586657d4b6fc5.jpg
71,La Mort de Moïse,28,1850,725b9490fb2fe4aabd77940cae0e9a3759583f0e2d5add8c9fce4eb12f52bd91.jpg
72,Portrait de M. Pierre Cabanel,28,1883,d3b3223ee3024b4460243b5db5127404024fa5ba66bff9a99a7670c535b82383.jpg
73,Saint Paul entouré par les lions,28,1843,4786a59e79a6ba1726a2ad1cfe714567ea217e122823488a804430848bab5493.jpg
74,Étude pour le Paradis perdu: Adam,28,1865,6aa3d72a3c1bac2ae79a9ed1791070afa1980025c3957d69634b63ce55fb4fb8.jpg
75,Saint Jean Baptiste,28,1849,c9c6dd877970d0bfdcdffbca0dcdac87aec6164f98dffa187c937041dc01663b.jpg
76,Portrait d'Alfred Bruyas,28,1846,222a636107c4b4345a90d14b4ed3a8e503cdb3cbe9d966c5f822bff60fce2a1d.jpg
77,"Un penseur, jeune moine romain",28,1848,1c7d63c27bd2fe52da4c63a873ab667aac5c7eb30fc469f15b7216650b43fcc1.jpg
78,Albaydé,28,1848,599ff461a08454000323bac07118ddcc3b1749298de578c29bd8c7539021621e.jpg
79,Portrait de l'artiste par lui-même (à 29 ans),28,1850,fbeec9f049ea19f3c2278e39615a5fe67fb00bb316984c83aab520556889b425.jpg
80,"Portrait de madame Louise Marès, née Bidreman",28,1851,102e63adc7ddfa72ca2b5bcce111a35412f7d6b0bb2f59adff81a9bbf39e3479.jpg
81,Cincinnatus recevant les ambassadeurs chargés de lui porter les insignes de la dictature,28,1844,9e1c1bac79e9fd4293aa419b9947ca442648af2e08c1f52b8ef723088d4647dd.jpg
82,Suzanne et les vieillards,29,1791,de1dcbc4177f78953a8614e10047af7a02fffc8f891a3c769737803ee4b430aa.jpg
83,La Mort d'Abel,29,1790,a4037aab4f1195d1f480cb41382f1c4b031477ff21cd16bc7ab2aa6937e08912.jpg
84,Saint Sébastien expirant,29,1789,93318c3fe14977aa9944553670166a5c098a796e8428605e010061c08c0f94c0.jpg
85,"Soldat romain au repos, académie",29,1788,71c8a4289532766e6b95c23967f07af3cdbe1f04f06a179702ac8f9e1b0f1390.jpg
86,Portrait du sculpteur Antonio Canova (1757-1822),29,1812,a586b0ac2d474633113c3ffd1110d4d7dca875dd26502b9c845e0a117be838bb.jpg
87,"Tête de Saint Jean-Baptiste, étude",29,1791,f8d7989f11ee306c17f2840126b6a9240da16c3fa04d1f76e2abfad9680e5c9e.jpg
88,"Tête d'homme barbu, de profil",29,1791,5e84fc7c23e687fda6f069ebf5dc93d8188ad30985e3dff967228ade296cef34.jpg
89,Tête de vieillard,29,1784,0975903ca56406415d968a1c3375972c8f2f6b9ebe84d860c652faa7fd793630.jpg
90,Portrait de Vittorio Alfieri (1749-1803),29,1803,db754c33bb58a19dfec3c6101ab054febf74306d0ddc0eb2a4734138e0ec506b.jpg
91,"Portrait de Louise de Stolberg, comtesse d'Albany (1752-1824)",29,1796,1f85a45a0d5343189a4178d684cdc090f4d83588ae9613fba60dd896313d53d7.jpg
92,"Portrait du docteur Henri Fabre, frère du peintre",29,1791,63ded8e6a14efc46f3fb729fff1e2a5c3bf5311c35e3d50c2cd5d79d067fc4c0.jpg
93,Portrait d'une jeune dessinatrice,29,1795,fbc667bee2ced40aa33d5a935cecd3bbfb09a8607fc7a52972ad76c73308023f.jpg
94,Portrait de Lucien Bonaparte (1775-1840),29,1808,75fc69d1eae24fbb27a7d38f7207d25b82786b698da126c03b37983746421b94.jpg
95,Autoportrait,29,1784,19588e0911b7c0776a17a9dd92e3ddb2ca5e0aa0e0afb69d759b56e9b79b2b0e.jpg
96,Autoportrait âgé,29,1835,c973e017c4a8f10ef418b0c5c872769b5c0b5267a6824aef51e031bdfe5c98ff.jpg
97,"Portrait de Philippe-Laurent de Joubert, trésorier de la Bourse des Etats du Languedoc (1729-1792)",29,1786,4373d248dd831c33b06614466e9d05461701fb0918aecca018c79fc2f306a76b.jpg
98,Le Mariage de sainte Catherine,30,1560,26809ffd8c9ac16e9115c392d60076629e99c36ae6baec1e0608f4925fff51e2.jpg
99,Orphée secourant Eurydice,31,1862,5a2e86a1fec67bef1de6c06bf06c427647fed14db99557c54411b38010e0c020.jpg
100,Portrait de Pierre-Auguste Fajon,32,1862,c3c93845d6a92acf3203e19dda2e6f393f6071e5357c32c3906f7999930d19d0.jpg
101,Etude de femme (H. Bonion),32,1854,2900b45b4413dfcc5b4cc35f2e46c1449eb257444abbc236bf064f2f309bca24.jpg
102,"Portrait de Bruyas de profil, 1854",32,1854,e1ca39f1f7d42edaa2b90119ecebfb4175fd9f7df6b3854a85f19fd5e99b2f0c.jpg
103,Paysage au satyre endormi,33,1620,aa06f6fe4122fba014bbb6f35919b8ce3b362536b83aaf279a8bb72372777235.jpg
104,Portrait de Fontenelle (1657-1757),34,1720,36f47df2ff4fc0c88233b3b13c74971cd3fd97fe03daa5f051c4cc7aef8d5587.jpg
106,Tête de femme et main d'homme,35,1806,5be2e85166ada567bc5b9f089619e306d6124259d0f9ec14730d343eee8acf09.jpg
107,Velléda,28,1852,20b2b45934ff1d56110c1bd1efd1daa6d8ba4b5494fa6ea17a7a1f32af33f7ee.jpg
108,Allégorie de la Prudence.,36,1645,e00955a2002a42557fa83c09ac3ebdae2766ce741297f16fec50fe7ba9b48e7f.jpg
109,Vue du grand canal et du pont du Rialto à Venise,37,1775,3dc79c84b2c4fb7df128839d3b253dcb7acc7f8d95a12471cb82d40f379aa8e0.jpg
110,"Portrait du cardinal Jean de Bonsy (1554-1621), évêque de Béziers de 1598 à 1611.",38,1616,0bffac6236972d0c4afc6982b7034569b191ff182abcd1a3e8395f8eb4f730a5.jpg
111,Paysage avec des bandits,112,1725,4214a877b93ae09c17025edf6d92f6084e405cacfd83f2d4e22ae6235f951152.jpg
112,La Vierge au lys.,113,1642,7604fbc86b7b69660abb1bd73a5322476e184c658f117e1ed1368ad5a9469286.jpg
113,Apollon et Diane perçant de leurs flèches les enfants de Niobé,115,1708,48bb1eee2b07eca81aa947ef0a3d30e3f7ad5ee9c431c3e630f753d5deb64370.jpg
114,Ariane dans l'île de Naxos,115,1725,70f97544a133d04643b61b34ceb802d7cf9752fdf196526a304d0a33c8628f21.jpg
115,Portrait du jeune Edgar Clarke,29,1802,8f3d430b4e9b018dddb2c044311d536a7ccb15e3c3489317c62525537690d712.jpg
116,La mort de Narcisse,29,1814,64a62cc2c71a6ea7a3ffc3f96094b21b5a232383a4fffa9eca4749278266d69f.jpg
117,La fuite en Egypte,116,1608,49d116c9532c291a5a59949e689a2898d44a1a74a7150cc91419f56123aec00b.jpg
118,L'Hymen,117,1850,08624c10857cacce67e8a0aab834cd98735bea3dd5b16b2dd880138cd8188457.jpg
119,Jeune fille grecque en costume d'Athènes ou portrait de Madame Amédée Pichot,118,1833,8c6b46703d05b6015374ac0395552eeb75fa66e670d97bcecd003a22dd7fc03a.jpg
120,Paysage avec le sermon sur la montagne,119,1620,3c617020a7d18ccfd99c308292a3fb34306737e2dbdf151e49c9f9da0775e511.jpg
121,Touareg,120,1896,bdca3753cbe3b680945a9548dec03f39c025c14ab576dc34afd51bd983edb197.jpg
123,Saint Pierre et saint Jean guérissant le paralytique à l'entrée du Temple de Jérusalem,66,1687,8c08a42aac1b8fe1c25f6be4d2a5a9f8fbebe16fecef5da888f5f8f6558ce8a1.jpg
124,La Charge d'Alincourt,122,1885,455ffd430a4fcb9e69b002c274503b8051efb05ec3208fe319be96ef000a91ee.jpg
125,Intérieur de cuisine,123,1814,976b476f97c5318694b6b106de0e122d1faeecc9be34b5fc25bc4fd96787d42f.jpg
126,Vierge avec l'Enfant et le petit saint Jean,110,1450,5e9c1126801151304d2c7ab35e1fba6345737b87249f638eb3f8618b469f2fbe.jpg
127,Daniel dans la fosse aux lions,31,1849,6699df0734507c257412e47b87b315bd9e89f1c85e90a254cd008350ac9c64c1.jpg
128,Michel-Ange dans son atelier,31,1850,aae0fd90a86c80b7e053c07d808ff78382115890d91484d855a88f30b5ab372c.jpg
130,Mariuccia,71,1841,f1b8769190f47e12112bf5b40d0d956d498a2214075219578579e5721ec50433.jpg
131,Mireille,72,1882,d125aacb7e0179bc39eabd3fb8c2cb743b34b878a26664ce6e07fe2464f84ea3.jpg
132,Saint Jean l'évangéliste à Patmos,73,1658,26020aacd75f2b1093d45c072ca1c6ac9c4fa9772546050c0b8e4a8d6db63878.jpg
133,Eve tentée par le serpent.,74,1834,a0be6adb95afdef6b84cbc84018ac86bb4e4ae2f7358ecba1fb6555da8951aea.jpg
134,Jeune-fille aux mains jointes,48,1780,d9fe114c7763378f493b84445e37deb4a9abcd3ea360f55531840850fe69f8de.jpg
135,Jeune-fille de dos,48,1775,37ac6941232794d525d0c6341c892127337d4a976bf2069c26622ff96922a1db.jpg
136,La prière du matin,48,1780,0e5b8aa3f6ad5c440a1e5c26689612d0cf7f3b091a54101e8bd64c18e1c28778.jpg
137,Une fillette,48,1750,9cff23faa5add93a84cc10b07e561f421b0c8e9ac74dbbd9fc1b38764bf9dfe8.jpg
138,Le petit mathématicien,48,1500,78682ba9e46657e5ce4baeb2df4e58720c3e503c72637d0c1a22b74c3afc8547.jpg
139,La jeune fille au panier,48,1775,6f05becbc7032caefd0d34e614a89e8b1feef3c755a572ef5fae50fe564dfa3e.jpg
140,Buste du paralytique,48,1773,cdbfb2392261c8bf230274c147bc77c0482803515f0a6fd27341912b085ce068.jpg
